BraTS21ID,Model,Channels,Tumor regions,Dice score,HD95
BraTS2021_01075,MEncodnnUnet,4 channels,TC,0.7938129305839539,3.7416573867739413
BraTS2021_01106,MEncodnnUnet,4 channels,TC,0.9542626142501831,1.4142135623730951
BraTS2021_00618,MEncodnnUnet,4 channels,TC,0.9895665049552917,1.0
BraTS2021_00789,MEncodnnUnet,4 channels,TC,0.9841609597206116,1.0
BraTS2021_01512,MEncodnnUnet,4 channels,TC,0.8995077610015869,5.477225575051661
BraTS2021_01315,MEncodnnUnet,4 channels,TC,0.9643592238426208,2.8284271247461903
BraTS2021_00251,MEncodnnUnet,4 channels,TC,0.9765915274620056,1.0
BraTS2021_01465,MEncodnnUnet,4 channels,TC,0.9635436534881592,1.4142135623730951
BraTS2021_00510,MEncodnnUnet,4 channels,TC,0.9691485166549683,1.7320508075688772
BraTS2021_01402,MEncodnnUnet,4 channels,TC,0.9539809823036194,2.23606797749979
BraTS2021_00280,MEncodnnUnet,4 channels,TC,0.9220893383026123,2.0
BraTS2021_01502,MEncodnnUnet,4 channels,TC,0.6952363848686218,9.0
BraTS2021_00686,MEncodnnUnet,4 channels,TC,0.9723783135414124,1.4142135623730951
BraTS2021_01360,MEncodnnUnet,4 channels,TC,0.9756343364715576,2.449489742783178
BraTS2021_01391,MEncodnnUnet,4 channels,TC,0.9348432421684265,2.23606797749979
BraTS2021_00485,MEncodnnUnet,4 channels,TC,0.6880790591239929,9.05813756018776
BraTS2021_00400,MEncodnnUnet,4 channels,TC,0.9427058696746826,2.8284271247461903
BraTS2021_00077,MEncodnnUnet,4 channels,TC,0.9766820073127747,1.4142135623730951
BraTS2021_01631,MEncodnnUnet,4 channels,TC,0.984368622303009,1.0
BraTS2021_01352,MEncodnnUnet,4 channels,TC,0.8996132016181946,3.0
BraTS2021_01127,MEncodnnUnet,4 channels,TC,0.9691863656044006,1.4142135623730951
BraTS2021_01664,MEncodnnUnet,4 channels,TC,0.4514344036579132,18.027756377319946
BraTS2021_01580,MEncodnnUnet,4 channels,TC,0.958225429058075,1.0
BraTS2021_01623,MEncodnnUnet,4 channels,TC,0.9770299196243286,1.0
BraTS2021_01416,MEncodnnUnet,4 channels,TC,0.858959972858429,9.433981132056603
BraTS2021_01381,MEncodnnUnet,4 channels,TC,0.9833455085754395,1.7320508075688772
BraTS2021_00171,MEncodnnUnet,4 channels,TC,0.8941351771354675,5.744562646538029
BraTS2021_00271,MEncodnnUnet,4 channels,TC,0.9445664286613464,2.23606797749979
BraTS2021_01069,MEncodnnUnet,4 channels,TC,0.9883742332458496,1.0
BraTS2021_00401,MEncodnnUnet,4 channels,TC,0.9848294854164124,1.0
BraTS2021_00053,MEncodnnUnet,4 channels,TC,0.9506757855415344,1.7320508075688772
BraTS2021_00060,MEncodnnUnet,4 channels,TC,0.9615208506584167,2.8284271247461903
BraTS2021_00003,MEncodnnUnet,4 channels,TC,0.9811550378799438,1.0
BraTS2021_01550,MEncodnnUnet,4 channels,TC,0.9770640730857849,1.0
BraTS2021_00102,MEncodnnUnet,4 channels,TC,0.625444233417511,8.602325267042627
BraTS2021_01338,MEncodnnUnet,4 channels,TC,0.98607337474823,1.0
BraTS2021_00405,MEncodnnUnet,4 channels,TC,0.9693028330802917,1.7320508075688772
BraTS2021_01358,MEncodnnUnet,4 channels,TC,0.9841344356536865,1.0
BraTS2021_01204,MEncodnnUnet,4 channels,TC,0.9198653101921082,3.605551275463989
BraTS2021_01057,MEncodnnUnet,4 channels,TC,0.9788869619369507,1.4142135623730951
BraTS2021_00395,MEncodnnUnet,4 channels,TC,0.9782984852790833,1.4142135623730951
BraTS2021_01632,MEncodnnUnet,4 channels,TC,0.9711244106292725,1.4142135623730951
BraTS2021_00430,MEncodnnUnet,4 channels,TC,0.9681591391563416,1.0
BraTS2021_01393,MEncodnnUnet,4 channels,TC,0.9891930222511292,1.0
BraTS2021_00747,MEncodnnUnet,4 channels,TC,0.9627883434295654,1.4142135623730951
BraTS2021_00210,MEncodnnUnet,4 channels,TC,0.9658244848251343,18.601075237738275
BraTS2021_01654,MEncodnnUnet,4 channels,TC,0.9778137803077698,1.0
BraTS2021_01598,MEncodnnUnet,4 channels,TC,0.9726076126098633,1.4142135623730951
BraTS2021_00605,MEncodnnUnet,4 channels,TC,0.9806413054466248,2.23606797749979
BraTS2021_00310,MEncodnnUnet,4 channels,TC,0.9602351784706116,2.0
BraTS2021_01029,MEncodnnUnet,4 channels,TC,0.9748916029930115,1.0
BraTS2021_01414,MEncodnnUnet,4 channels,TC,0.6711381077766418,14.866068747318506
BraTS2021_00165,MEncodnnUnet,4 channels,TC,0.9787318110466003,1.0
BraTS2021_01436,MEncodnnUnet,4 channels,TC,0.9512683749198914,1.7320508075688772
BraTS2021_00206,MEncodnnUnet,4 channels,TC,0.9885390996932983,1.0
BraTS2021_00496,MEncodnnUnet,4 channels,TC,0.9103260636329651,1.0
BraTS2021_00548,MEncodnnUnet,4 channels,TC,0.982965350151062,1.0
BraTS2021_00199,MEncodnnUnet,4 channels,TC,0.9801986217498779,1.0
BraTS2021_01251,MEncodnnUnet,4 channels,TC,0.958805501461029,1.4142135623730951
BraTS2021_00282,MEncodnnUnet,4 channels,TC,0.9695791602134705,1.0
BraTS2021_01418,MEncodnnUnet,4 channels,TC,0.959342896938324,2.0
BraTS2021_01566,MEncodnnUnet,4 channels,TC,0.9318850040435791,2.449489742783178
BraTS2021_01137,MEncodnnUnet,4 channels,TC,0.8326346278190613,3.734852081208419
BraTS2021_01000,MEncodnnUnet,4 channels,TC,0.9857291579246521,1.0
BraTS2021_01046,MEncodnnUnet,4 channels,TC,0.9747706651687622,1.4142135623730951
BraTS2021_00610,MEncodnnUnet,4 channels,TC,0.9458692669868469,1.4142135623730951
BraTS2021_00823,MEncodnnUnet,4 channels,TC,0.9346648454666138,2.449489742783178
BraTS2021_00203,MEncodnnUnet,4 channels,TC,0.9325692057609558,4.123105625617661
BraTS2021_01458,MEncodnnUnet,4 channels,TC,0.9060990214347839,3.0
BraTS2021_01158,MEncodnnUnet,4 channels,TC,0.8543393611907959,73.0581957406182
BraTS2021_00539,MEncodnnUnet,4 channels,TC,0.9827054142951965,1.0
BraTS2021_00550,MEncodnnUnet,4 channels,TC,0.8978467583656311,3.0
BraTS2021_00294,MEncodnnUnet,4 channels,TC,0.9723615646362305,32.67414364721616
BraTS2021_01597,MEncodnnUnet,4 channels,TC,0.9766067266464233,1.0
BraTS2021_01014,MEncodnnUnet,4 channels,TC,0.9871534705162048,1.0
BraTS2021_01357,MEncodnnUnet,4 channels,TC,0.9889155626296997,1.0
BraTS2021_00525,MEncodnnUnet,4 channels,TC,0.11474449932575226,41.31585652022719
BraTS2021_00494,MEncodnnUnet,4 channels,TC,0.9809293746948242,1.0
BraTS2021_00343,MEncodnnUnet,4 channels,TC,0.9527847170829773,1.4142135623730951
BraTS2021_00608,MEncodnnUnet,4 channels,TC,0.9525446891784668,2.8284271247461903
BraTS2021_01661,MEncodnnUnet,4 channels,TC,0.950741708278656,5.0
BraTS2021_01179,MEncodnnUnet,4 channels,TC,1.0,0.0
BraTS2021_01278,MEncodnnUnet,4 channels,TC,0.9695624113082886,1.0
BraTS2021_00234,MEncodnnUnet,4 channels,TC,0.9310231804847717,3.7416573867739413
BraTS2021_01633,MEncodnnUnet,4 channels,TC,0.9890337586402893,1.0
BraTS2021_01018,MEncodnnUnet,4 channels,TC,0.9901078939437866,1.0
BraTS2021_00464,MEncodnnUnet,4 channels,TC,0.9452011585235596,1.4142135623730951
BraTS2021_00131,MEncodnnUnet,4 channels,TC,0.9206028580665588,3.1622776601683795
BraTS2021_01547,MEncodnnUnet,4 channels,TC,0.9814751744270325,1.0
BraTS2021_00331,MEncodnnUnet,4 channels,TC,0.126248300075531,16.578597162597475
BraTS2021_01477,MEncodnnUnet,4 channels,TC,0.7870081067085266,17.11724276862369
BraTS2021_00500,MEncodnnUnet,4 channels,TC,0.889776349067688,3.0
BraTS2021_00797,MEncodnnUnet,4 channels,TC,0.9460102915763855,3.4641016151377544
BraTS2021_01210,MEncodnnUnet,4 channels,TC,0.9131771326065063,2.23606797749979
BraTS2021_00144,MEncodnnUnet,4 channels,TC,0.9594330191612244,1.4142135623730951
BraTS2021_00547,MEncodnnUnet,4 channels,TC,0.968820333480835,1.0
BraTS2021_00651,MEncodnnUnet,4 channels,TC,0.9769259095191956,1.0
BraTS2021_00112,MEncodnnUnet,4 channels,TC,0.7153494954109192,11.045361017187261
