variate,type,min,max,precision
age,real,40,100,1
sex,binary,0,1,
group,binary,0,1,
EHI_right,real,0,20,1
EHI_left,real,0,20,1
EHI_LQ,real,-100,100,
edu_primary,real,0,15,1
edu_secondary,real,0,15,1
edu_university,real,0,15,1
subcog_mem,binary,0,1,
subcog_conc,binary,0,1,
DS_forward,real,0,16,1
DS_reverse,real,0,16,1
DS_seq,real,0,16,1
CWIT_2,real,0,Inf,
CWIT_3,real,0,Inf,
CWIT_4,real,0,Inf,
ERT_med_rt_overall,real,0,,
ERT_total_hits,real,0,38,1
OTS_mean_lat_first_overall,real,0,,
OTS_cor_first,real,0,15,1
PRM_mean_lat_delayed,real,0,,
PRM_cor_delayed,real,0,100,
RTI_mean_react_time,real,0,,
RTI_total_errors,real,0,10,1
RVP_detection,real,0,1,
RVP_mean_lat_cor,real,0,,
SSP_forw_length,real,0,8,1
Total_Z_sum,real,-Inf,Inf,
Total_Z_mean,real,-Inf,Inf,
Total_Q_points,real,17,68,1
DMN_T_SW,real,0,Inf,
DMN_T_CPL,real,0,Inf,
DMN_T_CC,real,0,Inf,
DMN_A_SW,real,0,Inf,
DMN_A_CPL,real,0,Inf,
DMN_A_CC,real,0,Inf,
DMN_B_SW,real,0,Inf,
DMN_B_CPL,real,0,Inf,
DMN_B_CC,real,0,Inf,
DMN_G_SW,real,0,Inf,
DMN_G_CPL,real,0,Inf,
DMN_G_CC,real,0,Inf,
CEN_T_SW,real,0,Inf,
CEN_T_CPL,real,0,Inf,
CEN_T_CC,real,0,Inf,
CEN_A_SW,real,0,Inf,
CEN_A_CPL,real,0,Inf,
CEN_A_CC,real,0,Inf,
CEN_B_SW,real,0,Inf,
CEN_B_CPL,real,0,Inf,
CEN_B_CC,real,0,Inf,
CEN_G_SW,real,0,Inf,
CEN_G_CPL,real,0,Inf,
CEN_G_CC,real,0,Inf,
SN_T_SW,real,0,Inf,
SN_T_CPL,real,0,Inf,
SN_T_CC,real,0,Inf,
SN_A_SW,real,0,Inf,
SN_A_CPL,real,0,Inf,
SN_A_CC,real,0,Inf,
SN_B_SW,real,0,Inf,
SN_B_CPL,real,0,Inf,
SN_B_CC,real,0,Inf,
SN_G_SW,real,0,Inf,
SN_G_CPL,real,0,Inf,
SN_G_CC,real,0,Inf,
