name,type,Nvalues,rounding,domainmin,domainmax,censormin,censormax,centralvalue,lowvalue,highvalue,plotmin,plotmax,V1,V2
Apoe4_,binary,2,,,,,,,,,,,0,1
Subgroup_num_,binary,2,,,,,,,,,,,0,1
Gender_num_,binary,2,,,,,,,,,,,0,1
GDTOTAL_gds,ordinal,6,1,0,5,,,1,1,2,0,5,,
AVDEL30MIN_neuro,ordinal,16,1,0,15,,,3,0,6,0,15,,
AVDELTOT_neuro,ordinal,16,1,0,15,,,11,8,13,0,15,,
CATANIMSC_neuro,ordinal,35,1,1,35,,,17,13,20,1.5,35,,
ANARTERR_neuro,ordinal,51,1,0,50,,,10,6,19,0,50,,
RAVLT_immediate,ordinal,67,1,1,67,,,32,26,39,4.5,67,,
TRAASCOR_neuro,ordinal,150,1,1,150,,,37,30,49,3.5,150,,
TRABSCOR_neuro,ordinal,300,1,1,300,,,100.5,73,143.25,1,300,,
AGE,continuous,Inf,0.1,0,Inf,0,Inf,73.85,68.625,79,49.8125,96.5875,,
LRHHC_n_long,continuous,Inf,0,0,Inf,0,Inf,0.00418578566520277,0.0037009241044315,0.00475590345342856,0.00181218601085835,0.00704808145329585,,
