"template","docked","uniprot_id","rmsd","template_HeavyAtomCount","template_NHOHCount","template_NOCount","template_RingCount","template_NumHAcceptors","template_NumHDonors","template_NumHeteroAtoms","template_NumRotatableBonds","docked_HeavyAtomCount","docked_NHOHCount","docked_NOCount","docked_RingCount","docked_NumHAcceptors","docked_NumHDonors","docked_NumHeteroAtoms","docked_NumRotatableBonds","mcs_HeavyAtomCount","mcs_NOCount","mcs_RingCount","mcs_NumHeteroAtoms","mcs_template_NHOHCount","mcs_docked_NHOHCount","mcs_template_NumHAcceptors","mcs_docked_NumHAcceptors","mcs_template_NumHDonors","mcs_docked_NumHDonors","mcs_template_NumRotatableBonds","mcs_docked_NumRotatableBonds","ec_tanimoto_similarity","fc_tanimoto_similarity"
"2JH5_895","1ZRB_062","P00734",6.813,28,1,8,3,6,1,11,7,35,4,8,5,5,3,9,6,13,4,0,4,0,1,2,2,0,1,3,5,0.103960396039604,0.173684210526316
"2JH5_895","3QWC_98P","P00734",5.856,28,1,8,3,6,1,11,7,28,3,6,3,3,2,7,7,14,5,0,5,1,2,2,3,1,2,4,5,0.13953488372093,0.202453987730061
"2JH5_895","1MUE_CDD","P00734",8.229,28,1,8,3,6,1,11,7,32,2,8,3,6,2,12,8,13,3,0,3,0,1,1,3,0,1,3,6,0.0833333333333333,0.118279569892473
"2JH5_895","4YES_45S","P00734",3.128,28,1,8,3,6,1,11,7,26,4,6,3,3,3,7,6,14,5,0,5,1,2,2,2,1,2,4,5,0.133333333333333,0.191082802547771
"2JH5_895","1TA2_176","P00734",6.158,28,1,8,3,6,1,11,7,34,3,5,4,3,2,7,8,14,5,0,5,1,2,2,3,1,2,4,5,0.117948717948718,0.172043010752688
"2JH5_895","1WAY_L02","P00734",1.149,28,1,8,3,6,1,11,7,18,2,3,3,2,2,4,2,7,1,0,1,0,1,0,1,0,1,1,1,0.102040816326531,0.10958904109589
"2JH5_895","4LXB_7R9","P00734",7.116,28,1,8,3,6,1,11,7,42,2,11,4,8,2,16,12,16,6,0,7,1,1,3,4,1,1,6,6,0.208121827411168,0.300546448087432
"2JH5_895","1KTT_C02","P00734",5.907,28,1,8,3,6,1,11,7,30,4,7,4,5,3,8,6,12,4,0,5,1,1,2,3,1,1,4,4,0.0864864864864865,0.0923913043478261
"2JH5_895","1KTS_C24","P00734",7.462,28,1,8,3,6,1,11,7,37,4,10,4,8,3,10,12,11,2,0,2,0,1,0,2,0,1,3,3,0.0660377358490566,0.153061224489796
"2JH5_895","3DUX_64U","P00734",2.59,28,1,8,3,6,1,11,7,27,3,5,3,3,2,6,7,14,5,0,5,1,2,2,3,1,2,4,7,0.148809523809524,0.261437908496732
