"species","island","bill_len","bill_dep","flipper_len","body_mass","sex","year"
"Gentoo","Biscoe",47.8,15,215,5650,"male",2007
"Gentoo","Biscoe",45.4,14.6,211,4800,"female",2007
"Chinstrap","Dream",52,18.1,201,4050,"male",2007
"Chinstrap","Dream",51.3,18.2,197,3750,"male",2007
"Gentoo","Biscoe",42.9,13.1,215,5000,"female",2007
"Chinstrap","Dream",46.6,17.8,193,3800,"female",2007
"Adelie","Torgersen",39.3,20.6,190,3650,"male",2007
"Adelie","Torgersen",38.6,21.2,191,3800,"male",2007
"Chinstrap","Dream",51.7,20.3,194,3775,"male",2007
"Gentoo","Biscoe",48.7,15.1,222,5350,"male",2007
"Adelie","Dream",39.6,18.8,190,4600,"male",2007
"Chinstrap","Dream",50.3,20,197,3300,"male",2007
"Adelie","Biscoe",37.8,18.3,174,3400,"female",2007
"Adelie","Torgersen",41.1,17.6,182,3200,"female",2007
"Gentoo","Biscoe",47.3,15.3,222,5250,"male",2007
"Adelie","Dream",42.2,18.5,180,3550,"female",2007
"Adelie","Torgersen",39.1,18.7,181,3750,"male",2007
"Gentoo","Biscoe",45.1,14.5,215,5000,"female",2007
"Chinstrap","Dream",51.3,19.9,198,3700,"male",2007
"Gentoo","Biscoe",44.5,14.3,216,4100,,2007
"Adelie","Torgersen",34.1,18.1,193,3475,,2007
"Chinstrap","Dream",48.5,17.5,191,3400,"male",2007
"Adelie","Torgersen",38.9,17.8,181,3625,"female",2007
"Adelie","Biscoe",38.2,18.1,185,3950,"male",2007
"Adelie","Torgersen",38.7,19,195,3450,"female",2007
"Adelie","Dream",36.5,18,182,3150,"female",2007
"Adelie","Torgersen",36.6,17.8,185,3700,"female",2007
"Adelie","Dream",36,18.5,186,3100,"female",2007
"Adelie","Dream",42.3,21.2,191,4150,"male",2007
"Adelie","Biscoe",37.9,18.6,172,3150,"female",2007
